R,H,I,E,S,Time
2772,2,762,1407,5057,28.3508
2772,2,762,1408,5056,28.3527
2772,2,762,1409,5055,28.3556
2773,2,761,1409,5055,28.3562
2774,2,760,1409,5055,28.3563
2775,2,759,1409,5055,28.3573
2775,2,760,1408,5055,28.3573
2775,2,761,1407,5055,28.3578
2775,2,761,1408,5054,28.3584
2775,2,761,1409,5053,28.3623
2775,2,762,1408,5053,28.3642
2776,2,761,1408,5053,28.3645
2776,2,762,1407,5053,28.3646
2776,2,763,1406,5053,28.3675
2776,2,763,1407,5052,28.3677
2777,2,762,1407,5052,28.3689
2777,2,762,1408,5051,28.3696
2777,2,763,1407,5051,28.3706
2778,2,762,1407,5051,28.3709
2778,2,762,1408,5050,28.3711
2778,2,763,1407,5050,28.3729
2778,2,763,1408,5049,28.3737
2778,2,764,1407,5049,28.3739
2779,2,763,1407,5049,28.3743
2779,2,763,1408,5048,28.3763
2779,2,763,1409,5047,28.3772
2779,2,764,1408,5047,28.379
2779,2,764,1409,5046,28.3791
2779,2,765,1408,5046,28.3816
2779,2,765,1409,5045,28.3827
2779,2,765,1410,5044,28.383
2779,2,765,1411,5043,28.3843
2779,2,766,1410,5043,28.3847
2779,2,767,1409,5043,28.3849
2779,2,767,1410,5042,28.3855
2780,2,766,1410,5042,28.3867
2780,2,767,1409,5042,28.3873
2780,2,767,1410,5041,28.3874
2781,2,766,1410,5041,28.3874
2782,2,765,1410,5041,28.3877
2782,2,765,1411,5040,28.3882
2783,2,764,1411,5040,28.3908
2783,2,765,1410,5040,28.3934
2784,2,764,1410,5040,28.394
2785,2,763,1410,5040,28.3952
2785,2,764,1409,5040,28.3954
2785,2,764,1410,5039,28.396
2785,2,764,1411,5038,28.397
2785,2,765,1410,5038,28.3977
2786,2,764,1410,5038,28.3999
2786,2,765,1409,5038,28.4008
2786,2,766,1408,5038,28.4019
2786,2,766,1409,5037,28.4023
2787,2,765,1409,5037,28.4048
2787,2,766,1408,5037,28.4049
2787,2,766,1409,5036,28.4056
2787,2,767,1408,5036,28.406
2788,2,766,1408,5036,28.4095
2788,2,767,1407,5036,28.4111
2788,2,767,1408,5035,28.4115
2788,2,767,1409,5034,28.4141
2788,2,767,1410,5033,28.4153
2788,2,767,1411,5032,28.4156
2788,2,767,1412,5031,28.4159
2788,2,768,1411,5031,28.4164
2788,2,769,1410,5031,28.4203
2788,2,769,1411,5030,28.4229
2788,2,770,1410,5030,28.4236
2788,2,771,1409,5030,28.4275
2788,2,771,1410,5029,28.4284
2788,2,772,1409,5029,28.4291
2788,2,773,1408,5029,28.43
2788,2,773,1409,5028,28.4305
2788,2,773,1410,5027,28.4311
2788,2,774,1409,5027,28.4322
2788,3,773,1409,5027,28.433
2788,3,774,1408,5027,28.434
2788,3,775,1407,5027,28.4348
2789,3,774,1407,5027,28.4369
2789,3,774,1408,5026,28.4379
2789,3,774,1409,5025,28.438
2790,3,773,1409,5025,28.4386
2790,3,773,1410,5024,28.439
2791,3,772,1410,5024,28.4398
2792,3,771,1410,5024,28.4403
2792,3,771,1411,5023,28.4407
2793,3,770,1411,5023,28.4425
2793,3,770,1412,5022,28.4442
2793,3,770,1413,5021,28.4443
2793,3,770,1414,5020,28.4462
2793,3,770,1415,5019,28.447
2794,3,769,1415,5019,28.4475
2794,3,769,1416,5018,28.4484
2795,3,768,1416,5018,28.4498
2795,3,769,1415,5018,28.4504
2795,3,770,1414,5018,28.4504
2795,3,771,1413,5018,28.4509
2795,3,771,1414,5017,28.4515
2795,3,772,1413,5017,28.4541
2795,3,772,1414,5016,28.4549
2795,3,772,1415,5015,28.4577
2795,3,773,1414,5015,28.4579
2795,3,774,1413,5015,28.4579
2795,3,774,1414,5014,28.4579
2795,3,775,1413,5014,28.459
2795,3,776,1412,5014,28.46
2796,3,775,1412,5014,28.4607
2796,3,776,1411,5014,28.464
2797,3,775,1411,5014,28.4652
2797,3,775,1412,5013,28.4663
2797,3,776,1411,5013,28.4681
2797,3,776,1412,5012,28.4681
2798,3,775,1412,5012,28.4683
2799,3,774,1412,5012,28.4698
2799,3,775,1411,5012,28.4699
2799,3,775,1412,5011,28.4711
2799,3,776,1411,5011,28.4751
2799,3,776,1412,5010,28.4751
2799,3,776,1413,5009,28.4769
2799,3,777,1412,5009,28.4781
2800,3,776,1412,5009,28.4781
2800,3,776,1413,5008,28.4784
2801,3,775,1413,5008,28.4796
2801,3,775,1414,5007,28.4801
2801,3,776,1413,5007,28.4812
2802,3,775,1413,5007,28.4825
2803,3,774,1413,5007,28.483
2804,3,773,1413,5007,28.4851
2804,3,774,1412,5007,28.4864
2804,3,775,1411,5007,28.4879
2804,3,775,1412,5006,28.489
2804,3,775,1413,5005,28.4901
2805,3,774,1413,5005,28.4914
2806,3,773,1413,5005,28.4934
2806,3,774,1412,5005,28.4971
2806,3,774,1413,5004,28.4993
2806,3,774,1414,5003,28.5019
2806,3,774,1415,5002,28.5037
2806,3,775,1414,5002,28.5072
2806,3,776,1413,5002,28.5073
2806,3,777,1412,5002,28.5079
2807,3,776,1412,5002,28.508
2808,3,775,1412,5002,28.5087
2809,3,774,1412,5002,28.5089
2810,3,773,1412,5002,28.5099
2810,3,773,1413,5001,28.512
2810,3,774,1412,5001,28.5121
2810,3,774,1413,5000,28.5136
2810,3,775,1412,5000,28.5137
2810,3,776,1411,5000,28.5145
2810,3,777,1410,5000,28.5169
2810,3,778,1409,5000,28.517
2810,3,779,1408,5000,28.5223
2810,3,780,1407,5000,28.5238
2811,3,779,1407,5000,28.5246
2811,3,779,1408,4999,28.5254
2812,3,778,1408,4999,28.526
2813,3,777,1408,4999,28.5266
2814,3,776,1408,4999,28.5279
2814,3,776,1409,4998,28.5289
2814,3,776,1410,4997,28.5292
2815,3,775,1410,4997,28.5299
2815,3,776,1409,4997,28.5299
2815,3,777,1408,4997,28.5304
2815,3,778,1407,4997,28.5313
2816,3,777,1407,4997,28.5319
2817,3,776,1407,4997,28.5319
2818,3,775,1407,4997,28.5322
2818,3,775,1408,4996,28.533
2818,3,776,1407,4996,28.5333
2818,3,777,1406,4996,28.5372
2818,3,777,1407,4995,28.5379
2818,3,777,1408,4994,28.5383
2818,3,778,1407,4994,28.5409
2818,3,778,1408,4993,28.5443
2818,3,778,1409,4992,28.5445
2818,3,778,1410,4991,28.5451
2819,3,777,1410,4991,28.5458
2819,3,778,1409,4991,28.5461
2819,3,778,1410,4990,28.5471
2819,3,779,1409,4990,28.5482
2820,3,778,1409,4990,28.5488
2820,3,778,1410,4989,28.5488
2820,3,779,1409,4989,28.5517
2820,3,779,1410,4988,28.5524
2820,3,780,1409,4988,28.5532
2820,3,781,1408,4988,28.5543
2820,3,781,1409,4987,28.5551
2820,3,781,1410,4986,28.5578
2820,3,782,1409,4986,28.5581
2820,3,782,1410,4985,28.56
2820,3,782,1411,4984,28.5604
2820,3,782,1412,4983,28.5626
2820,3,782,1413,4982,28.5628
2820,3,782,1414,4981,28.5632
2820,3,783,1413,4981,28.5658
2820,3,784,1412,4981,28.5674
2821,3,783,1412,4981,28.5691
2821,3,783,1413,4980,28.5694
2821,3,784,1412,4980,28.5714
2821,3,784,1413,4979,28.5716
2821,3,784,1414,4978,28.5749
2821,3,785,1413,4978,28.5754
2821,3,785,1414,4977,28.5814
2821,3,786,1413,4977,28.5824
2821,3,787,1412,4977,28.5844
2821,3,787,1413,4976,28.5891
2822,3,786,1413,4976,28.5891
2822,3,787,1412,4976,28.5893
2822,3,787,1413,4975,28.6008
2822,3,787,1414,4974,28.603
2822,3,788,1413,4974,28.6042
2822,3,789,1412,4974,28.6072
2823,3,788,1412,4974,28.6076
2823,3,788,1413,4973,28.6091
2823,3,789,1412,4973,28.6118
2823,3,790,1411,4973,28.6122
2823,3,791,1410,4973,28.614
2823,3,791,1411,4972,28.6155
2823,3,792,1410,4972,28.617
2824,3,791,1410,4972,28.619
2824,3,792,1409,4972,28.6221
2824,3,793,1408,4972,28.6222
2824,3,794,1407,4972,28.6242
2824,3,795,1406,4972,28.6244
2825,3,794,1406,4972,28.6248
2825,3,794,1407,4971,28.6248
2826,3,793,1407,4971,28.6287
2826,3,794,1406,4971,28.6294
2827,3,793,1406,4971,28.6297
2827,3,794,1405,4971,28.6299
2827,3,795,1404,4971,28.6311
2828,3,794,1404,4971,28.6314
2828,3,794,1405,4970,28.6315
2828,3,794,1406,4969,28.6318
2828,3,794,1407,4968,28.6348
2828,3,795,1406,4968,28.6364
2829,3,794,1406,4968,28.6367
2829,3,795,1405,4968,28.6394
2829,3,796,1404,4968,28.6419
2829,3,796,1405,4967,28.6429
2829,3,797,1404,4967,28.6429
2829,3,798,1403,4967,28.643
2829,3,798,1404,4966,28.645
2829,3,798,1405,4965,28.6456
2829,3,798,1406,4964,28.646
2829,3,798,1407,4963,28.6479
2829,3,799,1406,4963,28.6483
2829,3,800,1405,4963,28.6493
2830,3,799,1405,4963,28.6501
2830,3,800,1404,4963,28.6517
2830,3,801,1403,4963,28.6521
2830,3,802,1402,4963,28.6526
2830,3,802,1403,4962,28.6527
2830,3,802,1404,4961,28.6534
2830,3,802,1405,4960,28.6545
2830,3,802,1406,4959,28.6561
2831,3,801,1406,4959,28.6583
2831,3,801,1407,4958,28.6593
2831,3,801,1408,4957,28.6616
2831,3,802,1407,4957,28.6645
2831,3,803,1406,4957,28.665
2831,3,804,1405,4957,28.6662
2831,3,804,1406,4956,28.669
2832,3,803,1406,4956,28.67
2832,3,803,1407,4955,28.6705
2832,3,803,1408,4954,28.671
2833,3,802,1408,4954,28.6715
2833,3,802,1409,4953,28.6717
2833,3,802,1410,4952,28.6722
2834,3,801,1410,4952,28.6723
2834,3,801,1411,4951,28.6725
2835,3,800,1411,4951,28.6754
2835,3,800,1412,4950,28.676
2835,3,801,1411,4950,28.6788
2835,3,801,1412,4949,28.6797
2835,3,801,1413,4948,28.68
2836,3,800,1413,4948,28.6816
2836,3,801,1412,4948,28.6823
2836,3,801,1413,4947,28.6826
2836,3,802,1412,4947,28.683
2836,3,802,1413,4946,28.688
2836,3,802,1414,4945,28.6893
2836,3,802,1415,4944,28.6894
2836,3,802,1416,4943,28.6906
2836,3,802,1417,4942,28.6934
2836,3,803,1416,4942,28.6944
2836,3,804,1415,4942,28.6955
2836,3,804,1416,4941,28.6963
2836,3,804,1417,4940,28.6964
2836,3,805,1416,4940,28.6969
2836,3,806,1415,4940,28.6975
2837,3,805,1415,4940,28.6986
2837,3,805,1416,4939,28.6991
2837,3,805,1417,4938,28.7003
2837,3,806,1416,4938,28.7016
2837,3,806,1417,4937,28.7049
2838,3,805,1417,4937,28.7059
2838,3,806,1416,4937,28.707
2838,3,806,1417,4936,28.7084
2838,3,806,1418,4935,28.7096
2838,3,807,1417,4935,28.711
2839,3,806,1417,4935,28.7112
2840,3,805,1417,4935,28.7115
2840,3,806,1416,4935,28.7129
2841,3,805,1416,4935,28.7143
2842,3,804,1416,4935,28.7145
2842,3,804,1417,4934,28.7155
2842,3,805,1416,4934,28.7158
2842,3,805,1417,4933,28.7172
2843,3,804,1417,4933,28.7173
2843,3,804,1418,4932,28.7187
2844,3,803,1418,4932,28.7212
2844,3,803,1419,4931,28.7226
2845,3,802,1419,4931,28.7227
2845,3,803,1418,4931,28.7242
2845,3,803,1419,4930,28.7246
2845,3,804,1418,4930,28.7252
2846,3,803,1418,4930,28.728
2847,3,802,1418,4930,28.7296
2848,3,801,1418,4930,28.7302
2849,3,800,1418,4930,28.7319
2849,3,801,1417,4930,28.7323
2849,3,802,1416,4930,28.7348
2850,3,801,1416,4930,28.7365
2851,3,800,1416,4930,28.7406
2851,3,800,1417,4929,28.7408
2851,3,800,1418,4928,28.7412
2851,3,800,1419,4927,28.7423
2851,3,801,1418,4927,28.743
2851,3,802,1417,4927,28.7437
2852,3,801,1417,4927,28.7463
2852,3,801,1418,4926,28.7515
2852,3,802,1417,4926,28.7524
2852,3,802,1418,4925,28.7526
2853,3,801,1418,4925,28.7544
2853,3,802,1417,4925,28.7589
2854,3,801,1417,4925,28.7614
2854,3,802,1416,4925,28.7629
2855,3,801,1416,4925,28.7631
2856,3,800,1416,4925,28.7634
2856,3,801,1415,4925,28.7636
2856,3,802,1414,4925,28.7674
2856,3,802,1415,4924,28.7689
2857,3,801,1415,4924,28.7691
2857,3,802,1414,4924,28.7695
2858,3,801,1414,4924,28.77
2858,3,801,1415,4923,28.7701
2859,3,800,1415,4923,28.7727
2860,3,799,1415,4923,28.7737
2861,3,798,1415,4923,28.7741
2862,3,797,1415,4923,28.7743
2862,3,798,1414,4923,28.7759
2862,3,798,1415,4922,28.7765
2862,3,799,1414,4922,28.7786
2862,3,800,1413,4922,28.7788
2863,3,799,1413,4922,28.7789
2864,3,798,1413,4922,28.7806
2864,3,798,1414,4921,28.782
2865,3,797,1414,4921,28.7822
2865,3,797,1415,4920,28.7829
2866,3,796,1415,4920,28.7845
2866,3,796,1416,4919,28.7848
2866,3,796,1417,4918,28.7854
2867,3,795,1417,4918,28.7856
2867,3,795,1418,4917,28.7903
2868,3,794,1418,4917,28.7921
2868,3,794,1419,4916,28.7926
2868,3,795,1418,4916,28.7948
2868,3,795,1419,4915,28.7951
2868,3,796,1418,4915,28.7957
2869,3,795,1418,4915,28.7987
2869,3,795,1419,4914,28.7991
2870,3,794,1419,4914,28.8009
2870,3,795,1418,4914,28.8019
2870,3,795,1419,4913,28.8029
2870,3,796,1418,4913,28.8043
2870,3,797,1417,4913,28.8048
2870,3,798,1416,4913,28.8074
2871,3,797,1416,4913,28.8076
2871,3,798,1415,4913,28.8082
2872,3,797,1415,4913,28.8122
2873,3,796,1415,4913,28.8124
2873,3,797,1414,4913,28.8148
2873,3,798,1413,4913,28.8164
2873,3,799,1412,4913,28.8176
2873,3,799,1413,4912,28.818
2873,3,800,1412,4912,28.8187
2874,3,799,1412,4912,28.822
2874,3,799,1413,4911,28.8221
2874,3,799,1414,4910,28.8223
2874,3,799,1415,4909,28.8231
2874,3,800,1414,4909,28.8248
2875,3,799,1414,4909,28.8255
2875,3,800,1413,4909,28.8261
2875,3,800,1414,4908,28.8287
2875,3,801,1413,4908,28.8303
2875,3,802,1412,4908,28.8328
2875,3,803,1411,4908,28.8328
2875,3,804,1410,4908,28.8345
2875,3,805,1409,4908,28.8379
2875,3,806,1408,4908,28.8398
2875,3,806,1409,4907,28.8399
2875,3,807,1408,4907,28.8432
2876,3,806,1408,4907,28.8433
2876,3,806,1409,4906,28.8442
2877,3,805,1409,4906,28.8446
2878,3,804,1409,4906,28.8457
2878,3,805,1408,4906,28.8464
2878,3,806,1407,4906,28.8497
2878,3,807,1406,4906,28.8501
2879,3,806,1406,4906,28.8501
2879,3,806,1407,4905,28.8504
2879,3,806,1408,4904,28.8513
2880,3,805,1408,4904,28.8514
2880,3,806,1407,4904,28.8525
2881,3,805,1407,4904,28.8546
2882,3,804,1407,4904,28.8551
2883,3,803,1407,4904,28.8551
2884,3,802,1407,4904,28.8552
2884,3,803,1406,4904,28.8552
2884,3,804,1405,4904,28.8565
2885,3,803,1405,4904,28.8597
2885,3,803,1406,4903,28.8601
2885,3,804,1405,4903,28.8606
2886,3,803,1405,4903,28.862
2886,3,803,1406,4902,28.8632
2886,3,803,1407,4901,28.8635
2887,3,802,1407,4901,28.8646
2887,3,802,1408,4900,28.8651
2887,3,802,1409,4899,28.8668
2887,3,803,1408,4899,28.867
2888,3,802,1408,4899,28.8683
2888,3,803,1407,4899,28.8683
2889,3,802,1407,4899,28.8693
2889,3,802,1408,4898,28.8722
2889,3,802,1409,4897,28.8729
2889,3,803,1408,4897,28.8735
2889,3,803,1409,4896,28.8754
2889,3,804,1408,4896,28.8758
2889,3,804,1409,4895,28.8761
2890,3,803,1409,4895,28.8764
2891,3,802,1409,4895,28.8782
2892,3,801,1409,4895,28.8786
2893,3,800,1409,4895,28.8793
2893,3,800,1410,4894,28.8796
2893,3,800,1411,4893,28.8806
2894,3,799,1411,4893,28.8806
2894,3,799,1412,4892,28.8822
2895,3,798,1412,4892,28.8841
2895,3,798,1413,4891,28.8866
2895,3,798,1414,4890,28.8892
2895,3,799,1413,4890,28.8898
2896,3,798,1413,4890,28.8901
2896,3,799,1412,4890,28.8913
2896,3,800,1411,4890,28.8933
2897,3,799,1411,4890,28.8941
2897,3,799,1412,4889,28.8964
2897,3,799,1413,4888,28.8991
2898,3,798,1413,4888,28.8993
2899,3,797,1413,4888,28.8995
2899,3,798,1412,4888,28.901
2900,3,797,1412,4888,28.9013
2900,3,798,1411,4888,28.9084
2900,3,799,1410,4888,28.9093
2900,3,799,1411,4887,28.9097
2901,3,798,1411,4887,28.9097
2902,3,797,1411,4887,28.9097
2902,3,797,1412,4886,28.9116
2902,3,797,1413,4885,28.9119
2902,3,797,1414,4884,28.9124
2902,3,798,1413,4884,28.9129
2902,3,798,1414,4883,28.9134
2902,3,798,1415,4882,28.9157
2902,3,798,1416,4881,28.9157
2903,3,797,1416,4881,28.9158
2903,3,798,1415,4881,28.9162
2903,3,799,1414,4881,28.9175
2903,3,799,1415,4880,28.9179
2903,3,799,1416,4879,28.9186
2903,3,800,1415,4879,28.9188
2903,3,800,1416,4878,28.919
2903,3,800,1417,4877,28.9194
2903,3,801,1416,4877,28.9211
2904,3,800,1416,4877,28.9229
2904,3,801,1415,4877,28.9249
2904,3,802,1414,4877,28.9267
2904,3,803,1413,4877,28.9298
2905,3,802,1413,4877,28.9303
2905,3,803,1412,4877,28.9343
2906,3,802,1412,4877,28.9344
2906,3,802,1413,4876,28.9348
2907,3,801,1413,4876,28.935
2908,3,800,1413,4876,28.9375
2908,3,800,1414,4875,28.9386
2909,3,799,1414,4875,28.9423
2910,3,798,1414,4875,28.9439
2910,3,798,1415,4874,28.9455
2911,3,797,1415,4874,28.9463
2911,3,797,1416,4873,28.947
2911,3,798,1415,4873,28.9481
2912,3,797,1415,4873,28.949
2912,3,797,1416,4872,28.9494
2912,3,798,1415,4872,28.9511
2913,3,797,1415,4872,28.9515
2913,3,798,1414,4872,28.953
2913,3,799,1413,4872,28.9531
2913,3,800,1412,4872,28.9563
2914,3,799,1412,4872,28.9601
2915,3,798,1412,4872,28.9622
2915,3,798,1413,4871,28.9626
2916,3,797,1413,4871,28.9629
2916,3,798,1412,4871,28.9631
2917,3,797,1412,4871,28.9644
2917,3,798,1411,4871,28.9647
2917,3,798,1412,4870,28.9663
2917,3,799,1411,4870,28.9674
2918,3,798,1411,4870,28.968
2918,3,798,1412,4869,28.9689
2918,3,798,1413,4868,28.9699
2918,3,799,1412,4868,28.9703
2919,3,798,1412,4868,28.9703
2919,3,798,1413,4867,28.9754
2919,3,799,1412,4867,28.9768
2920,3,798,1412,4867,28.98
2920,3,798,1413,4866,28.9814
2920,3,798,1414,4865,28.9829
2920,3,799,1413,4865,28.9835
2921,3,798,1413,4865,28.9842
2922,3,797,1413,4865,28.9843
2922,3,797,1414,4864,28.9852
2922,3,797,1415,4863,28.9854
2923,3,796,1415,4863,28.9864
2923,3,796,1416,4862,28.9868
2924,3,795,1416,4862,28.9888
2924,3,795,1417,4861,28.9892
2925,3,794,1417,4861,28.9898
2925,3,795,1416,4861,28.9907
2926,3,794,1416,4861,28.991
2926,3,794,1417,4860,28.996
2926,3,795,1416,4860,28.9965
2926,3,795,1417,4859,28.9976
2926,3,795,1418,4858,28.9976
2926,3,796,1417,4858,28.9984
2926,3,797,1416,4858,29.0004
2926,3,798,1415,4858,29.0024
2926,3,799,1414,4858,29.0031
2926,3,799,1415,4857,29.0034
2926,3,799,1416,4856,29.0058
2926,3,799,1417,4855,29.0081
2926,3,799,1418,4854,29.0082
2926,3,799,1419,4853,29.0102
2926,3,800,1418,4853,29.0105
2926,3,800,1419,4852,29.0107
2926,3,801,1418,4852,29.0112
2926,3,802,1417,4852,29.0113
2927,3,801,1417,4852,29.0119
2928,3,800,1417,4852,29.0123
2928,3,800,1418,4851,29.0123
2928,3,800,1419,4850,29.0129
2928,3,800,1420,4849,29.0145
2928,3,801,1419,4849,29.0157
2928,3,801,1420,4848,29.018
2929,3,800,1420,4848,29.0188
2929,3,800,1421,4847,29.0201
2930,3,799,1421,4847,29.0286
2930,3,799,1422,4846,29.0291
2930,3,799,1423,4845,29.0332
2930,3,799,1424,4844,29.0334
2931,3,798,1424,4844,29.0364
2932,3,797,1424,4844,29.0374
2933,3,796,1424,4844,29.0376
2933,3,797,1423,4844,29.0401
2934,3,796,1423,4844,29.0401
2935,3,795,1423,4844,29.0402
2936,3,794,1423,4844,29.0419
2936,3,794,1424,4843,29.0449
2936,3,794,1425,4842,29.05
2936,3,794,1426,4841,29.052
2936,3,794,1427,4840,29.052
2936,3,795,1426,4840,29.0528
2936,3,796,1425,4840,29.053
2937,3,795,1425,4840,29.053
2937,3,796,1424,4840,29.0543
2937,3,797,1423,4840,29.0581
2937,3,797,1424,4839,29.0585
2938,3,796,1424,4839,29.0602
2939,3,795,1424,4839,29.0604
2939,3,795,1425,4838,29.0609
2939,3,795,1426,4837,29.0617
2939,3,796,1425,4837,29.0621
2939,3,796,1426,4836,29.0623
2939,3,796,1427,4835,29.0629
2939,3,796,1428,4834,29.0646
2939,3,797,1427,4834,29.0649
2939,3,798,1426,4834,29.0658
2939,3,798,1427,4833,29.0663
2940,3,797,1427,4833,29.0666
2940,3,798,1426,4833,29.0668
2940,3,798,1427,4832,29.069
2940,3,798,1428,4831,29.069
2941,3,797,1428,4831,29.07
2941,3,797,1429,4830,29.07
2941,3,797,1430,4829,29.0707
2941,3,798,1429,4829,29.0708
2941,3,798,1430,4828,29.0714
2942,3,797,1430,4828,29.0722
2943,3,796,1430,4828,29.0724
2944,3,795,1430,4828,29.0725
2944,3,795,1431,4827,29.0725
2944,3,795,1432,4826,29.0747
2944,3,795,1433,4825,29.076
2944,3,796,1432,4825,29.0763
2944,3,796,1433,4824,29.0772
2944,3,796,1434,4823,29.0785
2944,3,796,1435,4822,29.0825
2944,3,796,1436,4821,29.083
2944,3,796,1437,4820,29.0872
2944,3,796,1438,4819,29.0884
2944,3,797,1437,4819,29.0891
2945,3,796,1437,4819,29.0893
2945,3,796,1438,4818,29.0903
2946,3,795,1438,4818,29.0905
2946,3,795,1439,4817,29.093
2946,3,795,1440,4816,29.0943
2946,3,795,1441,4815,29.095
2947,3,794,1441,4815,29.0969
2947,3,794,1442,4814,29.097
2947,3,794,1443,4813,29.0973
2947,3,795,1442,4813,29.1004
2947,3,796,1441,4813,29.1007
2947,3,796,1442,4812,29.1012
2947,3,796,1443,4811,29.1019
2948,3,795,1443,4811,29.1019
2948,3,795,1444,4810,29.103
2949,3,794,1444,4810,29.1038
2949,3,795,1443,4810,29.1038
2949,3,796,1442,4810,29.1047
2949,3,797,1441,4810,29.1056
2949,3,797,1442,4809,29.1059
2950,3,796,1442,4809,29.1064
2950,3,796,1443,4808,29.1104
2950,3,796,1444,4807,29.1141
2950,3,797,1443,4807,29.1144
2950,3,797,1444,4806,29.1155
2950,3,797,1445,4805,29.1158
2950,3,798,1444,4805,29.1158
2950,3,799,1443,4805,29.1165
2950,3,800,1442,4805,29.1196
2950,3,801,1441,4805,29.1206
2950,3,802,1440,4805,29.1242
2950,3,802,1441,4804,29.1269
2950,3,802,1442,4803,29.1281
2950,3,803,1441,4803,29.1301
2951,3,802,1441,4803,29.1301
2951,3,802,1442,4802,29.1317
2952,3,801,1442,4802,29.1337
2952,3,801,1443,4801,29.134
2952,3,802,1442,4801,29.1342
2953,3,801,1442,4801,29.1363
2953,3,802,1441,4801,29.1371
2953,3,803,1440,4801,29.1375
2953,3,804,1439,4801,29.1378
2954,3,803,1439,4801,29.1389
2954,3,804,1438,4801,29.1389
2954,3,804,1439,4800,29.1392
2955,3,803,1439,4800,29.1404
2955,3,803,1440,4799,29.1411
2955,3,803,1441,4798,29.1441
2956,3,802,1441,4798,29.147
2956,3,802,1442,4797,29.1479
2956,3,802,1443,4796,29.1484
2956,3,803,1442,4796,29.1496
2956,3,803,1443,4795,29.1505
2956,3,804,1442,4795,29.151
2956,3,804,1443,4794,29.1514
2956,3,805,1442,4794,29.1515
2956,3,806,1441,4794,29.1516
2956,3,807,1440,4794,29.1528
2957,3,806,1440,4794,29.1543
2957,3,807,1439,4794,29.1561
2958,3,806,1439,4794,29.1569
2958,3,806,1440,4793,29.1581
2958,3,806,1441,4792,29.1593
2959,3,805,1441,4792,29.1603
2959,3,806,1440,4792,29.1617
2960,3,805,1440,4792,29.1623
2960,3,806,1439,4792,29.1637
2960,3,806,1440,4791,29.1651
2960,3,806,1441,4790,29.1701
2961,3,805,1441,4790,29.1725
2961,3,805,1442,4789,29.1738
2962,3,804,1442,4789,29.1747
2963,3,803,1442,4789,29.1774
2964,3,802,1442,4789,29.1776
2964,3,803,1441,4789,29.1803
2964,3,803,1442,4788,29.1805
2964,3,804,1441,4788,29.1814
2964,3,804,1442,4787,29.1825
2964,3,805,1441,4787,29.1832
2964,3,806,1440,4787,29.1856
2964,3,806,1441,4786,29.1858
2964,3,807,1440,4786,29.1895
2964,3,808,1439,4786,29.1902
2964,3,808,1440,4785,29.1937
2965,3,807,1440,4785,29.1954
2965,3,808,1439,4785,29.1968
2965,3,809,1438,4785,29.1976
2965,3,810,1437,4785,29.1987
2965,3,810,1438,4784,29.1996
2965,3,810,1439,4783,29.1998
2965,3,811,1438,4783,29.2036
2965,3,811,1439,4782,29.2037
2965,3,811,1440,4781,29.2043
2965,3,811,1441,4780,29.2043
2966,3,810,1441,4780,29.2062
2967,3,809,1441,4780,29.2062
2967,3,810,1440,4780,29.2064
2968,3,809,1440,4780,29.2071
2968,3,810,1439,4780,29.2114
2968,3,811,1438,4780,29.2119
2968,3,811,1439,4779,29.2131
2968,3,812,1438,4779,29.2139
2969,3,811,1438,4779,29.214
2969,3,811,1439,4778,29.2148
2970,3,810,1439,4778,29.217
2970,3,811,1438,4778,29.2185
2970,3,811,1439,4777,29.2191
2970,3,812,1438,4777,29.2218
2970,3,813,1437,4777,29.2218
2970,3,814,1436,4777,29.2219
2970,3,814,1437,4776,29.2225
2970,3,815,1436,4776,29.2229
2971,3,814,1436,4776,29.2235
2972,3,813,1436,4776,29.224
2972,3,814,1435,4776,29.2256
2973,3,813,1435,4776,29.2259
2973,3,813,1436,4775,29.2265
2973,3,814,1435,4775,29.2279
2974,3,813,1435,4775,29.228
2974,3,813,1436,4774,29.2291
2974,3,814,1435,4774,29.2305
2975,3,813,1435,4774,29.2308
2976,3,812,1435,4774,29.232
2976,3,813,1434,4774,29.2322
2976,3,813,1435,4773,29.2325
2976,3,813,1436,4772,29.2358
2977,3,812,1436,4772,29.2365
2977,3,813,1435,4772,29.2372
2977,3,813,1436,4771,29.2402
2977,3,813,1437,4770,29.2416
2977,3,813,1438,4769,29.2434
2977,3,813,1439,4768,29.2452
2978,3,812,1439,4768,29.2467
2978,3,812,1440,4767,29.2485
2979,3,811,1440,4767,29.2501
2980,3,810,1440,4767,29.2502
2980,3,810,1441,4766,29.2507
2980,3,811,1440,4766,29.253
2980,3,812,1439,4766,29.2533
2980,3,813,1438,4766,29.2536
2980,3,813,1439,4765,29.2549
2980,3,813,1440,4764,29.2554
2980,3,814,1439,4764,29.2554
2981,3,813,1439,4764,29.26
2981,3,813,1440,4763,29.2608
2981,3,813,1441,4762,29.2617
2981,3,813,1442,4761,29.2631
2981,3,813,1443,4760,29.2637
2982,3,812,1443,4760,29.2644
2983,3,811,1443,4760,29.2659
2984,3,810,1443,4760,29.2662
2984,3,811,1442,4760,29.2671
2984,3,812,1441,4760,29.2677
2984,3,812,1442,4759,29.2686
2984,3,812,1443,4758,29.2703
2984,3,812,1444,4757,29.2703
2985,3,811,1444,4757,29.2718
2985,3,811,1445,4756,29.2741
2986,3,810,1445,4756,29.2751
2986,3,810,1446,4755,29.2773
