R,H,I,E,S,Time
82,0,68,177,9673,5.07847
83,0,67,177,9673,5.08141
83,0,67,178,9672,5.0879
83,0,67,179,9671,5.1198
84,0,66,179,9671,5.13705
84,0,66,180,9670,5.13901
85,0,65,180,9670,5.14105
85,0,65,181,9669,5.17296
85,0,66,180,9669,5.1797
85,0,67,179,9669,5.18726
85,0,67,180,9668,5.19063
86,0,66,180,9668,5.19687
86,0,66,181,9667,5.20649
86,0,66,182,9666,5.22128
86,0,67,181,9666,5.22767
86,0,67,182,9665,5.23287
86,0,68,181,9665,5.23432
86,0,69,180,9665,5.25272
86,0,69,181,9664,5.25335
86,0,69,182,9663,5.26263
86,0,69,183,9662,5.27121
86,0,70,182,9662,5.29748
86,0,70,183,9661,5.30301
86,0,71,182,9661,5.30679
86,0,71,183,9660,5.31071
86,0,72,182,9660,5.32313
86,0,73,181,9660,5.32407
86,0,73,182,9659,5.33494
86,0,73,183,9658,5.34196
87,0,72,183,9658,5.36768
88,0,71,183,9658,5.36894
89,0,70,183,9658,5.37908
89,0,70,184,9657,5.38037
89,0,71,183,9657,5.3863
89,0,72,182,9657,5.38917
89,0,72,183,9656,5.39199
89,0,72,184,9655,5.39201
90,0,71,184,9655,5.40782
90,0,72,183,9655,5.41891
90,0,72,184,9654,5.43123
90,0,72,185,9653,5.44072
90,0,72,186,9652,5.44565
91,0,71,186,9652,5.44776
92,0,70,186,9652,5.44919
92,0,70,187,9651,5.45811
92,0,71,186,9651,5.4706
92,0,71,187,9650,5.47788
92,0,72,186,9650,5.48995
92,0,73,185,9650,5.51699
92,0,74,184,9650,5.52623
92,0,75,183,9650,5.53688
92,0,75,184,9649,5.54005
92,0,76,183,9649,5.54995
92,0,76,184,9648,5.56041
93,0,75,184,9648,5.57634
93,0,76,183,9648,5.58129
93,0,76,184,9647,5.58184
93,0,77,183,9647,5.59145
93,0,78,182,9647,5.59764
93,0,79,181,9647,5.60213
94,0,78,181,9647,5.61973
94,0,78,182,9646,5.62981
94,0,78,183,9645,5.63242
94,0,78,184,9644,5.6532
94,0,79,183,9644,5.71098
94,0,79,184,9643,5.7141
95,0,78,184,9643,5.72604
95,0,78,185,9642,5.74551
95,0,78,186,9641,5.76501
96,0,77,186,9641,5.76614
96,0,78,185,9641,5.77863
96,0,78,186,9640,5.78028
97,0,77,186,9640,5.78644
97,0,77,187,9639,5.79765
97,0,78,186,9639,5.82556
97,0,78,187,9638,5.82765
98,0,77,187,9638,5.84036
98,0,78,186,9638,5.84274
98,0,79,185,9638,5.84534
99,0,78,185,9638,5.8485
100,0,77,185,9638,5.85669
101,0,76,185,9638,5.86152
102,0,75,185,9638,5.87182
102,0,75,186,9637,5.88331
102,0,75,187,9636,5.88493
102,0,75,188,9635,5.89291
102,0,75,189,9634,5.89732
103,0,74,189,9634,5.90318
103,0,74,190,9633,5.90513
103,0,74,191,9632,5.90724
104,0,73,191,9632,5.91169
105,0,72,191,9632,5.91453
105,0,72,192,9631,5.92104
105,0,72,193,9630,5.93834
105,0,72,194,9629,5.94305
106,0,71,194,9629,5.95467
106,0,71,195,9628,5.95894
106,0,72,194,9628,5.96128
106,0,72,195,9627,5.96509
107,0,71,195,9627,5.97
107,0,71,196,9626,5.97982
107,0,71,197,9625,5.98503
107,0,71,198,9624,5.98763
107,0,71,199,9623,5.99384
107,0,71,200,9622,6.00668
107,0,71,201,9621,6.02114
107,0,72,200,9621,6.05758
107,0,72,201,9620,6.06515
107,0,72,202,9619,6.07547
107,0,72,203,9618,6.09271
108,0,71,203,9618,6.09465
108,0,72,202,9618,6.10582
108,0,73,201,9618,6.10855
108,0,73,202,9617,6.11838
108,0,73,203,9616,6.12421
108,0,74,202,9616,6.12426
108,0,74,203,9615,6.12958
108,0,74,204,9614,6.14294
108,0,74,205,9613,6.15074
109,0,73,205,9613,6.16257
109,0,73,206,9612,6.16803
109,0,73,207,9611,6.16911
109,0,73,208,9610,6.17898
109,0,74,207,9610,6.18303
109,0,75,206,9610,6.18339
110,0,74,206,9610,6.1859
110,0,75,205,9610,6.18714
111,0,74,205,9610,6.21625
111,0,74,206,9609,6.22607
111,0,75,205,9609,6.2285
111,0,76,204,9609,6.23387
111,0,77,203,9609,6.24716
111,0,77,204,9608,6.25108
111,0,78,203,9608,6.2633
111,0,78,204,9607,6.27386
111,0,79,203,9607,6.27478
111,0,79,204,9606,6.2778
112,0,78,204,9606,6.27956
112,0,78,205,9605,6.28294
112,0,78,206,9604,6.2872
112,0,78,207,9603,6.28824
113,0,77,207,9603,6.29944
113,0,77,208,9602,6.31366
113,0,77,209,9601,6.32491
113,0,78,208,9601,6.32899
113,0,78,209,9600,6.3301
114,0,77,209,9600,6.33406
114,0,77,210,9599,6.34188
115,0,76,210,9599,6.34811
116,0,75,210,9599,6.363
116,0,75,211,9598,6.36904
116,0,75,212,9597,6.41635
116,0,76,211,9597,6.43952
116,0,76,212,9596,6.44546
116,0,77,211,9596,6.44596
116,0,77,212,9595,6.4465
116,0,77,213,9594,6.44929
117,0,76,213,9594,6.45627
118,0,75,213,9594,6.45891
118,0,76,212,9594,6.46575
118,0,76,213,9593,6.49116
118,0,76,214,9592,6.50938
118,0,76,215,9591,6.51788
118,0,77,214,9591,6.5438
118,0,77,215,9590,6.55085
119,0,76,215,9590,6.57536
119,0,76,216,9589,6.57943
119,0,77,215,9589,6.60295
119,0,77,216,9588,6.61218
119,0,78,215,9588,6.64854
119,0,79,214,9588,6.65283
119,0,79,215,9587,6.65448
119,0,79,216,9586,6.65977
119,0,80,215,9586,6.67085
119,0,80,216,9585,6.67741
119,0,80,217,9584,6.68131
119,0,81,216,9584,6.68183
119,0,82,215,9584,6.68298
119,0,82,216,9583,6.6858
119,0,83,215,9583,6.68647
120,0,82,215,9583,6.68693
121,0,81,215,9583,6.68989
121,0,81,216,9582,6.71433
121,0,82,215,9582,6.7161
121,0,83,214,9582,6.72242
121,0,83,215,9581,6.72305
121,0,83,216,9580,6.72568
121,0,84,215,9580,6.73724
121,0,85,214,9580,6.744
121,0,86,213,9580,6.74407
121,0,86,214,9579,6.74991
121,0,86,215,9578,6.75129
121,0,86,216,9577,6.76221
121,0,86,217,9576,6.76884
121,0,86,218,9575,6.77909
121,0,86,219,9574,6.78044
121,0,86,220,9573,6.78875
121,0,86,221,9572,6.78943
122,0,85,221,9572,6.79981
123,0,84,221,9572,6.81698
124,0,83,221,9572,6.82122
124,0,84,220,9572,6.83573
124,0,84,221,9571,6.8394
125,0,83,221,9571,6.84096
125,0,84,220,9571,6.84198
126,0,83,220,9571,6.84215
126,0,83,221,9570,6.84685
126,0,84,220,9570,6.8586
126,0,85,219,9570,6.90012
126,0,85,220,9569,6.9011
126,0,85,221,9568,6.90879
126,0,85,222,9567,6.91292
127,0,84,222,9567,6.94662
127,0,84,223,9566,6.95057
127,0,85,222,9566,6.95854
127,0,86,221,9566,6.96095
127,0,86,222,9565,6.96205
127,0,87,221,9565,6.96356
128,0,86,221,9565,6.9663
129,0,85,221,9565,6.97076
129,0,85,222,9564,6.97544
129,0,85,223,9563,6.98618
130,0,84,223,9563,6.99183
130,0,84,224,9562,6.9931
130,0,84,225,9561,7.01227
130,0,84,226,9560,7.01779
130,0,85,225,9560,7.02155
130,0,86,224,9560,7.02751
130,0,86,225,9559,7.02998
131,0,85,225,9559,7.03323
131,0,86,224,9559,7.03724
132,0,85,224,9559,7.046
133,0,84,224,9559,7.05327
134,0,83,224,9559,7.05527
134,0,84,223,9559,7.07557
134,0,84,224,9558,7.07718
134,0,85,223,9558,7.11699
134,0,85,224,9557,7.12413
134,0,85,225,9556,7.12826
134,0,85,226,9555,7.13263
134,0,85,227,9554,7.1378
134,0,85,228,9553,7.13844
134,0,85,229,9552,7.14421
135,0,84,229,9552,7.14731
135,0,84,230,9551,7.15348
135,0,84,231,9550,7.15525
135,0,84,232,9549,7.15899
135,0,84,233,9548,7.16297
135,0,85,232,9548,7.1785
135,0,85,233,9547,7.17947
135,0,85,234,9546,7.17957
135,0,85,235,9545,7.18446
135,0,86,234,9545,7.18916
135,0,87,233,9545,7.18932
136,0,86,233,9545,7.19282
136,0,86,234,9544,7.19307
136,0,87,233,9544,7.19884
136,0,87,234,9543,7.19999
136,0,87,235,9542,7.20144
136,0,88,234,9542,7.2018
136,0,89,233,9542,7.22533
137,0,88,233,9542,7.24839
138,0,87,233,9542,7.2522
139,0,86,233,9542,7.25395
140,0,85,233,9542,7.25932
140,0,85,234,9541,7.27519
140,0,86,233,9541,7.27755
140,0,86,234,9540,7.28542
140,0,86,235,9539,7.30043
140,0,86,236,9538,7.30194
140,0,87,235,9538,7.30435
140,0,87,236,9537,7.30688
140,0,87,237,9536,7.31379
140,0,87,238,9535,7.31835
141,0,86,238,9535,7.32055
141,0,87,237,9535,7.33337
141,0,87,238,9534,7.33577
141,0,87,239,9533,7.34065
141,0,87,240,9532,7.34162
141,0,88,239,9532,7.35553
141,0,88,240,9531,7.35559
141,0,88,241,9530,7.36068
141,0,88,242,9529,7.37273
141,0,89,241,9529,7.37365
141,0,89,242,9528,7.37452
141,0,90,241,9528,7.38443
141,0,91,240,9528,7.38903
141,0,91,241,9527,7.40753
142,0,90,241,9527,7.4078
142,0,90,242,9526,7.41494
142,0,91,241,9526,7.42972
142,0,91,242,9525,7.43718
143,0,90,242,9525,7.44746
143,0,90,243,9524,7.4563
143,0,91,242,9524,7.46216
143,0,92,241,9524,7.46538
143,0,93,240,9524,7.46702
144,0,92,240,9524,7.47107
144,0,92,241,9523,7.49774
144,0,93,240,9523,7.50503
145,0,92,240,9523,7.51592
146,0,91,240,9523,7.53591
146,0,91,241,9522,7.53693
146,0,92,240,9522,7.54102
146,0,93,239,9522,7.54757
147,0,92,239,9522,7.55662
147,0,93,238,9522,7.55854
147,0,94,237,9522,7.56098
148,0,93,237,9522,7.56745
149,0,92,237,9522,7.57569
150,0,91,237,9522,7.57743
150,0,91,238,9521,7.58831
150,0,92,237,9521,7.59627
150,0,92,238,9520,7.59796
151,0,91,238,9520,7.60263
151,0,92,237,9520,7.61892
151,0,92,238,9519,7.63734
151,0,92,239,9518,7.64221
152,0,91,239,9518,7.64982
152,0,92,238,9518,7.65369
152,0,93,237,9518,7.65508
152,0,93,238,9517,7.66046
152,0,94,237,9517,7.66167
152,0,95,236,9517,7.67577
152,0,95,237,9516,7.69153
153,0,94,237,9516,7.69175
153,0,94,238,9515,7.69705
153,0,94,239,9514,7.70875
153,0,95,238,9514,7.71427
153,0,96,237,9514,7.72143
153,0,96,238,9513,7.7218
153,0,96,239,9512,7.7305
154,0,95,239,9512,7.74438
154,0,95,240,9511,7.75588
154,0,95,241,9510,7.75817
154,0,96,240,9510,7.76385
154,0,97,239,9510,7.7648
154,0,98,238,9510,7.76769
154,0,98,239,9509,7.77798
154,0,98,240,9508,7.80535
154,0,99,239,9508,7.81402
154,0,99,240,9507,7.81434
154,0,99,241,9506,7.81936
154,0,99,242,9505,7.82102
154,0,100,241,9505,7.84078
154,0,101,240,9505,7.84357
154,0,102,239,9505,7.84418
154,0,103,238,9505,7.85031
